case_id,len,height,thk,force,f0,uy_amp,area
0071,10.276378,1.121515,0.105275,735.223,9.0,0.001361500757,11.52511207
0072,10.497331,0.852688,0.108954,1786.022,9.0,0.00057709549,8.950948176
0073,9.744932,0.88963,0.107488,825.586,9.0,0.0005476775231,8.669383855
0074,11.134048,1.194663,0.080461,1790.313,9.0,0.001220767093,13.30143519
0075,10.920649,1.13919,0.097144,1489.715,9.0,0.0008490386407,12.44069413
0076,10.878476,0.99293,0.08745,1303.136,9.0,0.000534881046,10.80156517
0077,8.232794,1.161636,0.117356,1389.986,9.0,0.00013370563,9.563509891
0078,8.187391,1.061274,0.111188,1670.882,9.0,0.0002453915127,8.689065196
0079,9.368696,1.045778,0.104899,1551.222,9.0,0.001089108518,9.797576165
0080,11.531009,1.095332,0.113973,1956.094,9.0,0.0004978348197,12.63028315
0081,8.312101,0.990631,0.080924,1417.002,9.0,0.0004515583786,8.234224926
0082,11.707072,0.973991,0.103712,594.486,9.0,0.0001342754809,11.40258276
0083,8.398899,0.851316,0.089176,1458.279,9.0,0.001432326239,7.150117101
0084,11.150321,0.828759,0.085086,723.614,9.0,0.0002233845447,9.240928882
0085,8.359357,0.839808,0.10191,1589.864,9.0,0.001447122404,7.020254883
0086,10.735005,0.940741,0.109667,1130.244,9.0,0.0003659704723,10.09885934
0087,10.006589,1.189205,0.094955,1298.068,9.0,0.000867639265,11.89988567
0088,10.799234,0.95289,0.08328,1463.339,9.0,0.0006136688115,10.29048209
0089,10.561134,1.032762,0.115937,1106.19,9.0,0.0005034767616,10.90713787
0090,9.675008,0.932163,0.096218,1532.299,9.0,0.001724329964,9.018684482
0091,10.848126,0.81303,0.100315,792.88,9.0,0.0002293473631,8.819851882
0092,11.826622,0.958775,0.11234,1925.254,9.0,0.0003813680091,11.33906951
0093,9.924731,0.968135,0.103407,1837.025,9.0,0.001596509221,9.608479447
0094,10.211865,1.064612,0.115563,1423.05,9.0,0.001440354744,10.87167402
0095,10.682739,0.981054,0.103369,1172.524,9.0,0.0004543406161,10.48034383
0096,9.346128,1.020444,0.093026,1114.909,9.0,0.001130862329,9.537200241
0097,11.933915,1.101511,0.101786,1705.553,9.0,0.0003992450215,13.14533865
0098,8.152585,1.074283,0.117628,1537.125,9.0,0.0001964210924,8.758183472
0099,9.413484,0.918429,0.086159,1653.402,9.0,0.003526943663,8.645616697
0100,8.804258,0.998332,0.104086,1710.406,9.0,0.0007103388133,8.789572498
0101,11.989176,0.803747,0.118056,1912.134,9.0,0.0003316969303,9.636264242
0102,10.251069,0.866543,0.104475,1331.59,9.0,0.0005301951693,8.882992084
0103,11.421464,0.929505,0.11151,812.445,9.0,0.0001842613285,10.6163079
0104,11.240529,1.172622,0.10235,1411.861,9.0,0.0006060331512,13.1808916
0105,9.031488,1.025614,0.082996,554.356,9.0,0.0003244034558,9.262820534
0106,10.393553,1.112259,0.100934,1635.856,9.0,0.001983263896,11.56032287
0107,10.809487,0.966381,0.081293,1920.986,9.0,0.0008408975654,10.44608286
0108,10.120309,1.00867,0.114363,1818.521,9.0,0.001364690827,10.20805208
0109,11.543319,0.924754,0.117491,1868.521,9.0,0.0003833293718,10.67473042
0110,8.104306,0.955689,0.094744,1716.536,9.0,0.0004644540488,7.745196097
0111,8.96078,1.184813,0.116888,1091.23,9.0,0.0001656004418,10.61684863
0112,11.678432,1.067544,0.107124,1041.382,9.0,0.0002510374775,12.46724001
0113,8.938313,0.974788,0.109023,800.843,9.0,0.000482003572,8.712960253
0114,11.274616,1.011538,0.115681,917.291,9.0,0.0002330483514,11.40470252
0115,10.581249,1.091772,0.083914,1864.327,9.0,0.001542842989,11.55231138
0116,9.264301,0.831276,0.092666,954.929,9.0,0.00103540124,7.701191078
0117,9.805317,1.068643,0.105763,1478.574,9.0,0.002585460953,10.47838337
0118,9.79721,1.13777,0.094013,613.631,9.0,0.0004497701751,11.14697162
0119,10.607532,1.192258,0.115118,982.248,9.0,0.001454107605,12.64691489
0120,11.80713,1.178433,0.098646,1728.949,9.0,0.000497354347,13.91391163
0121,8.699608,0.882958,0.11637,1689.561,9.0,0.001707827436,7.68138848
0122,11.381332,1.087787,0.116438,1518.258,9.0,0.0004084018195,12.38046499
0123,8.846133,0.818007,0.107837,988.499,9.0,0.002320007403,7.236198717
0124,8.519343,1.149159,0.089206,1357.853,9.0,0.0002211082385,9.790079683
0125,10.223957,1.076276,0.093675,1876.153,9.0,0.002586431842,11.00379954
0126,9.619859,1.051656,0.08659,586.559,9.0,0.0008890178033,10.11678244
0127,9.016232,0.832479,0.119588,1543.738,9.0,0.002331718044,7.505823799
0128,9.281631,1.035426,0.090468,1780.7,9.0,0.001351900404,9.61044206
0129,9.177345,1.071313,0.080201,845.152,9.0,0.0004448123778,9.831809004
0130,11.602141,0.957443,0.096895,975.931,9.0,0.0002426073424,11.10838869
0131,11.770157,1.119258,0.098057,1441.053,9.0,0.000387534242,13.17384238
0132,11.467844,1.089201,0.083135,1190.849,9.0,0.0004266954332,12.49078715
0133,9.193016,0.939455,0.087841,876.434,9.0,0.002197126193,8.636424846
0134,11.914247,0.861257,0.102728,609.425,9.0,0.0001245024112,10.26122863
0135,9.117652,1.102369,0.088612,1212.998,9.0,0.0004340100914,10.05101692
0136,11.05856,1.037159,0.101013,1233.873,9.0,0.0004266280735,11.46948503
0137,11.104248,0.915607,0.112694,1310.297,9.0,0.0003306957059,10.1671272
0138,8.563021,0.910395,0.113348,792.287,9.0,0.0004413521834,7.795731503
0139,9.638411,0.947289,0.09036,1977.748,9.0,0.003039543959,9.130360718
0140,10.508405,1.125926,0.119947,935.2,9.0,0.0008201711214,11.83168641
0141,10.291166,0.950369,0.106742,671.572,9.0,0.0003193609867,9.78040514
0142,9.642335,0.801794,0.114074,1068.183,9.0,0.0005168093301,7.731166349
