case_id,len,height,thk,force,uy_tip,uy_max,u_sum_max,sig_max,area,volume
0072,7.688204,1.387021,0.093842,1541.8675,-5.3670773e-05,5.3715763e-05,5.4186652e-05,405758.99,10.6637,1.000703
0073,13.877386,1.061851,0.034837,1136.6613,-0.0013727033,0.0013727922,0.0013750367,2447533.8,14.735716,0.51334815
0074,8.410904,0.416262,0.139589,1776.818,-0.0019752806,0.0019753153,0.0019766723,3753301.9,3.5011397,0.48872059
0075,10.386533,1.300287,0.103131,1173.5861,-0.00010997362,0.00011000457,0.00011047973,428428.11,13.505474,1.392833
0076,10.206033,0.471871,0.027042,1655.066,-0.011645981,0.011646147,0.011653133,17030046.0,4.815931,0.13023241
0077,7.879129,0.262086,0.126296,753.85138,-0.0030486479,0.0030486641,0.0030496119,4150354.6,2.0650094,0.26080243
0078,11.42218,0.725537,0.052444,1163.1187,-0.0016292028,0.0016292632,0.0016311033,2928119.8,8.2872142,0.43461466
0079,11.719421,0.351358,0.138606,1293.8037,-0.0064865432,0.006486559,0.0064881933,5356309.4,4.1177123,0.57073963
0080,13.079718,0.27758,0.065799,1738.2553,-0.051804068,0.051804113,0.051810661,27093685.0,3.6306681,0.23889433
0081,11.339297,0.921095,0.121675,719.39651,-0.00020797314,0.00020798922,0.0002083721,481725.18,10.44457,1.270843
0082,8.181139,0.74654,0.064034,669.89658,-0.00025986631,0.00025989478,0.00026049715,937427.77,6.1075475,0.3910907
0083,9.393028,0.498521,0.032615,1111.9443,-0.0042908577,0.0042909506,0.0042943392,7831708.7,4.6826217,0.15272371
0084,9.899999,0.604936,0.034243,1522.2484,-0.0036679112,0.0036680324,0.0036718676,7316416.7,5.9888658,0.20507673
0085,10.490222,1.32534,0.094194,692.00568,-6.9102628e-05,6.9122668e-05,6.9426635e-05,269094.82,13.903111,1.3095896
0086,6.162824,0.986559,0.067845,828.69394,-5.6839404e-05,5.6872757e-05,5.7269032e-05,476435.21,6.0799895,0.41249689
0087,7.45564,0.682474,0.040385,514.97734,-0.00031381854,0.00031385328,0.00031458523,1246278.2,5.0882805,0.20549021
0088,9.75509,0.743005,0.102097,1078.5325,-0.00045054319,0.00045057193,0.00045130193,1137326.1,7.2480806,0.74000729
0089,13.648308,1.158723,0.12036,1060.0323,-0.00027146624,0.00027149022,0.00027203571,546108.86,15.814608,1.9034463
0090,10.324122,1.226973,0.084796,921.48893,-0.00012265545,0.00012268509,0.00012316368,456637.27,12.667419,1.0741465
0091,13.277345,0.541986,0.098222,518.82624,-0.0014600464,0.0014600608,0.0014607438,1448290.7,7.1961351,0.70681878
0092,7.118404,0.517882,0.071925,814.20469,-0.00055387192,0.00055390276,0.00055472209,1830235.3,3.6864933,0.26515103
0093,11.04205,0.547967,0.067399,592.89541,-0.0013538542,0.0013538781,0.0013548133,1964472.9,6.050679,0.40780971
0094,7.607743,0.536241,0.031083,760.31345,-0.0013158625,0.0013159292,0.0013177571,3942035.4,4.0795837,0.1268057
0095,10.000914,0.926961,0.075697,679.04497,-0.00021266667,0.00021269108,0.00021319951,637462.9,9.2704572,0.7017458
0096,13.494705,0.64367,0.135133,1634.6625,-0.0020964997,0.0020965326,0.0020978708,2392247.4,8.6861368,1.1737837
0097,10.250984,1.076034,0.039249,1578.3161,-0.0006574838,0.00065759364,0.00065960319,2178410.6,11.030407,0.43293246
0098,13.935794,0.94588,0.070501,1125.3949,-0.00096145068,0.00096149417,0.00096273317,1513755.6,13.181589,0.92931519
0099,8.545567,0.513368,0.109119,1709.9958,-0.0013603925,0.0013604351,0.0013618102,3089675.6,4.3870206,0.47870731
0100,11.779914,1.356083,0.124871,1651.2433,-0.00016415485,0.00016419099,0.00016479265,519019.14,15.974541,1.9947569
0101,6.397776,1.004258,0.116751,1673.6942,-7.0720823e-05,7.0760051e-05,7.1234742e-05,560241.31,6.4250177,0.75012725
0102,7.082083,0.967395,0.137013,1177.4392,-6.4055763e-05,6.4079135e-05,6.4407329e-05,399117.31,6.8511717,0.93869959
0103,10.861241,1.014357,0.134195,1546.2413,-0.00026708981,0.00026712125,0.00026776942,743023.88,11.017176,1.4784499
0104,13.323121,1.384438,0.073006,652.04666,-0.00015047487,0.00015049918,0.00015095002,379576.5,18.445035,1.3465982
0105,9.096814,0.768474,0.051607,945.39924,-0.00057323531,0.00057328533,0.0005744259,1722194.6,6.990665,0.36076725
0106,13.383601,0.638833,0.084105,573.15971,-0.0011785444,0.0011785629,0.0011793163,1356983.9,8.549886,0.71908816
0107,8.094165,1.399221,0.050737,783.23362,-5.719965e-05,5.7241729e-05,5.7704132e-05,393622.98,11.325526,0.57462319
0108,7.01565,0.70615,0.136086,1064.6671,-0.00014497629,0.0001449976,0.0001454055,672790.05,4.9541012,0.67418382
0109,13.133101,0.653132,0.13231,1306.5023,-0.0015100803,0.0015101071,0.0015111547,1846387.7,8.5776485,1.1349087
0110,10.358238,0.794546,0.095837,965.275,-0.00042063257,0.00042066004,0.00042135122,1007394.7,8.2300966,0.78874776
0111,12.665454,1.274371,0.043375,1259.741,-0.00053875944,0.00053883855,0.00054035333,1384408.2,16.140487,0.70009364
0112,9.984868,0.563225,0.060315,1610.7012,-0.0027999203,0.0027999931,0.0028024897,5110135.3,5.6237273,0.33919511
0113,10.766147,1.343804,0.136581,1215.0581,-8.6773572e-05,8.6797908e-05,8.7170648e-05,325424.6,14.467591,1.9759981
0114,13.820641,1.103846,0.121466,802.41928,-0.00024447494,0.00024449296,0.00024492821,456987.18,15.255859,1.8530682
0115,8.919892,0.918351,0.11309,978.1326,-0.00014982755,0.00014985116,0.00015029194,559506.87,8.1915917,0.92638711
0116,6.34691,0.315019,0.119548,886.32548,-0.0011404879,0.0011405081,0.0011412962,2879550.7,1.9993972,0.23902394
